Date,Open,High,Low,Close,Volume,Turn Over,Log_Return,Return_5D,Return_10D,Return_20D,Close_to_SMA20,Close_to_SMA50,EMA20_to_SMA20,Rolling_Vol_20D,Rolling_Vol_30D,ATR_14D_Norm,RSI_14,MACD,MACD_Signal,MACD_Hist,Lag_Log_Return_1D,Lag_Log_Return_5D,Lag_Log_Return_20D,Rolling_Mean_Log_Return_20D,Rolling_Std_Return_20D,Expanding_Mean_Log_Return,Volume_Pct_Change,Volume_Rolling_Avg_20D,Volume_Rolling_Std_20D,Volume_Ratio_20D,Volume_Spike,Cumulative_Return,Running_Max_Close,Drawdown,Rolling_Return_Zscore_60D,Market_Regime_Encoded,Trend_Encoded,Target_Next_1D_Return,Target_Next_1D_Direction,Sim_Expected_Return_1D,Sim_Volatility_1D,Sim_VaR_95_1D,Sim_Prob_Profit_1D,Sim_Skewness_1D,Sim_Kurtosis_1D,Sim_IQR_1D,Sim_Quant_Skew_1D,Sim_Tail_Ratio_1D,Sim_Median_Path_Return_1D,Sim_Divergence_Rate_1D,Sim_Prob_Extreme_Up_1D,Sim_Prob_Extreme_Down_1D,Sim_Expected_Return_5D,Sim_Volatility_5D,Sim_VaR_95_5D,Sim_Prob_Profit_5D,Sim_Skewness_5D,Sim_Kurtosis_5D,Sim_IQR_5D,Sim_Quant_Skew_5D,Sim_Tail_Ratio_5D,Sim_Median_Path_Return_5D,Sim_Divergence_Rate_5D,Sim_Prob_Extreme_Up_5D,Sim_Prob_Extreme_Down_5D,Sim_Expected_Return_10D,Sim_Volatility_10D,Sim_VaR_95_10D,Sim_Prob_Profit_10D,Sim_Skewness_10D,Sim_Kurtosis_10D,Sim_IQR_10D,Sim_Quant_Skew_10D,Sim_Tail_Ratio_10D,Sim_Median_Path_Return_10D,Sim_Divergence_Rate_10D,Sim_Prob_Extreme_Up_10D,Sim_Prob_Extreme_Down_10D,Sim_Expected_Return_20D,Sim_Volatility_20D,Sim_VaR_95_20D,Sim_Prob_Profit_20D,Sim_Skewness_20D,Sim_Kurtosis_20D,Sim_IQR_20D,Sim_Quant_Skew_20D,Sim_Tail_Ratio_20D,Sim_Median_Path_Return_20D,Sim_Divergence_Rate_20D,Sim_Prob_Extreme_Up_20D,Sim_Prob_Extreme_Down_20D,Sim_Expected_Return_60D,Sim_Volatility_60D,Sim_VaR_95_60D,Sim_Prob_Profit_60D,Sim_Skewness_60D,Sim_Kurtosis_60D,Sim_IQR_60D,Sim_Quant_Skew_60D,Sim_Tail_Ratio_60D,Sim_Median_Path_Return_60D,Sim_Divergence_Rate_60D,Sim_Prob_Extreme_Up_60D,Sim_Prob_Extreme_Down_60D
2021-09-12,6685.27,6964.08,6595.85,6964.08,256027058.8,1782992919647.904,0.0466751091652185,0.0592900526140465,-0.023030898186792,0.0360254213081976,-0.0027375713444716,0.0536204973975692,-0.0171907416262289,0.025179572034366,0.020775943738,0.0331082600183472,53.992648597736846,26.487134480077657,79.45846624604276,-52.971331765965104,-0.0027195365004319,-0.0268558022791127,0.0076130484790882,0.0017695840739258,0.025179572034366,0.0014686581994611,0.8078966722596537,410819243.15,213155138.0525603,0.6232109694689214,False,0.0921186136337617,7474.66,-0.0683081237139883,2.3358022847255926,2,0,-0.0135606471728985,0.0,0.0012381138938069385,0.02605094183999362,-0.039883938145397285,0.521,0.039315268519207226,-0.007411409669444424,0.034238953123161345,-0.015942014148418834,1.1463717549305719,0.0009378437431702283,,0.029,0.017,0.00832682321957907,0.055939093373557944,-0.08180038087635086,0.548,0.11151010443874854,-0.06083523369450683,0.0768132732683841,0.037964925067660284,1.2321426945549923,0.005426865244731261,,0.031,0.016,0.01977411686920628,0.08300681000451561,-0.10939116343458813,0.593,0.23762513667021895,0.01909862481130231,0.10855995638856644,0.029657860114058434,1.487666743277263,0.016215343413127442,0.28422527185380575,0.046,0.009,0.038370006328761995,0.12305693855648822,-0.14384019558826153,0.596,0.5170585473907603,0.2798373743487663,0.1628722271667723,0.03885544385052046,1.750151005717618,0.028119494807174135,0.9267199174437325,0.06,0.001,0.11115362436663064,0.22773763715710676,-0.20645748394191335,0.66,0.8312101592956271,1.272739437256186,0.27999697016250197,0.06314287979097807,2.5416079548550767,0.08389019303214598,2.3122635370091493,0.081,0.0
2021-09-13,7009.42,7042.44,6815.17,6870.28,236886060.8,1627473565793.024,-0.0135606471728985,-0.0146463197751133,-0.0295954269959223,0.0218901669019249,-0.0172054280950919,0.036406527061508,-0.0181281517660238,0.0254116111653344,0.0209151949116729,0.0329324277904248,51.12083761102673,25.13158993657089,68.59309098414839,-43.4615010475775,0.0466751091652185,0.0587929109163968,0.0001770170840982,0.0010827008610759,0.0254116111653344,0.0012222761441765,-0.0747616212509487,416766005.66,206096642.9074901,0.568391033776524,False,0.077408741553193,7474.66,-0.0808571894908932,-0.7530904971115456,2,0,-0.0098573404226953,0.0,0.0009099973663279179,0.026185561134823784,-0.04305044364368385,0.504,0.10856658908403699,-0.1098561560305864,0.03579387054898722,0.010006143044344374,1.0184468545010805,0.00011602660583953009,,0.022,0.016,0.006488618073328588,0.05676630784607748,-0.08449334616577665,0.529,0.28863692584505235,0.20710949341956564,0.07651102184221543,0.017421851769360366,1.2302906882387883,0.004535982356289643,,0.033,0.012,0.009987361233740149,0.08280186353437727,-0.11364259280860577,0.519,0.3112629621492955,-0.09400046923011152,0.11716941571299708,0.0787897136214309,1.3035733663695308,0.004340170443638523,0.41956406674982133,0.033,0.009,0.01886613295662326,0.11525209613449384,-0.15589301555747323,0.528,0.4246922997993334,0.1918704194765657,0.15534964698753032,0.026227109478106303,1.4084257958232327,0.013720289455412546,0.8821360105263253,0.042,0.006,0.057339513346563634,0.21143922408208918,-0.25994700845960284,0.592,0.4901964133965029,0.13194341171893154,0.26709723903644034,-0.023745425372045326,1.708338330353422,0.04519829966181508,2.2360120647263173,0.061,0.001
2021-09-14,6852.78,6902.49,6775.42,6802.89,135578993.0,922328975689.77,-0.0098573404226953,-0.0073164716920836,-0.0113630418480819,-0.0026945128986244,-0.0267176268751601,0.0236427222986786,-0.01882939508012,0.0253183911185343,0.0209412393926971,0.0321982905164464,49.10022971497916,18.40731327215326,58.55593544174937,-40.14862216959611,-0.0135606471728985,-0.0172686081196414,0.0144948264316163,-0.0001349074816396,0.0253183911185343,0.0010435726511624,-0.4276615832010999,406912003.94,214855009.05882457,0.3331899567651766,False,0.0668405296181235,7474.66,-0.0898729841892473,-0.5948727806686381,2,0,-0.0109061167501946,0.0,-0.0008802641667656387,0.025973641553922025,-0.043334611828884956,0.475,0.03331433730816637,0.05662557907902155,0.03389885872598179,-0.004909210340015261,1.0066986266834426,-0.0009446510602099569,,0.021,0.029,0.0002852327106287486,0.05530586808390299,-0.08816452938630534,0.485,0.20973779912857404,0.055236422196641044,0.07403741024665589,0.06907333323133358,1.0614610582157555,-0.002117227623842078,,0.031,0.012,-0.00170127213884495,0.07648981424930291,-0.1172658445421979,0.48,0.20024617561409452,-0.2622912381275677,0.10802949260430456,0.04805634174217755,1.0692817877849825,-0.0052319789159938224,0.29942712681092326,0.023,0.017,-0.00023701571225488661,0.11288622468947242,-0.17459692079600692,0.472,0.35924392709035663,0.22995067645571554,0.14576034826656437,0.09231905775077505,1.1056142408309058,-0.007951387780957084,0.7532707595391195,0.025,0.014,0.0018636309131114714,0.2008984212843916,-0.2848887310260522,0.462,0.5021604100933766,0.14672865605048813,0.27872353097889846,0.09815385784827205,1.2680202801908456,-0.018706677108930356,2.352611479543727,0.033,0.008
2021-09-15,6856.39,6856.4,6709.17,6729.1,168723537.0,1135357552826.7,-0.0109061167501946,0.0096780001800558,-0.0217411846801333,-0.034419720561288,-0.0356199077539508,0.0102137108448922,-0.0189026268160263,0.0248981840583,0.0210258348713364,0.0321954538603124,46.91362724261129,7.042853625989665,48.25331907859743,-41.21046545260776,-0.0098573404226953,-0.0278809534129831,0.0214217661408789,-0.0017513016261932,0.0248981840583,0.0008538950416171,0.2444666630618801,364342860.77,165684316.5662384,0.4630900044079928,False,0.0552686590336335,7474.66,-0.0997450051239788,-0.6401506768103143,2,0,-0.020411690596433,0.0,-0.0019609288139960488,0.02525831171704384,-0.04321020452662612,0.472,-0.12064292315381496,0.03315070752707294,0.0357474797629892,0.01270929182091659,0.8727509407609891,-0.001926482726484745,,0.016,0.023,-0.009462586056639643,0.055333854044714366,-0.10080240886084672,0.418,0.13507154795743245,0.000548045697553512,0.07525178378564064,-0.08254936390756555,0.8329182739369749,-0.008399498166656551,,0.017,0.03,-0.016742419065592977,0.07902182234817196,-0.14209112391756923,0.402,0.2586860451641046,0.09053619653405054,0.10875628354501096,0.07291074005246549,0.7845545194865831,-0.020313237942712992,0.23508934155952813,0.018,0.025,-0.03542992137223151,0.1086676793939004,-0.19967732539970126,0.336,0.47410872099211815,0.8007763245887922,0.1400619956798543,0.0279642191619677,0.7527093255366899,-0.04169369075880704,0.5906122605793561,0.023,0.037,-0.09852696847153151,0.17676030498194226,-0.3450474758081232,0.247,0.8294131097046339,1.306640072671454,0.2240672865922663,0.023364973561136485,0.6415537760732726,-0.11656351565803644,1.5446172712192474,0.019,0.042
2021-09-16,6650.92,6729.1,6567.93,6593.14,285797337.6,1884301858424.064,-0.020411690596433,-0.0080282855638305,-0.0237071390917543,-0.0751701143072759,-0.0514625660449943,-0.012135625429681,-0.0185817763112263,0.0245329776054153,0.0213316843428988,0.0328503782502939,43.10464689786039,-12.786997705061369,36.04525572186567,-48.83225342692704,-0.0109061167501946,-0.0027195365004319,0.0227077426216626,-0.003907273287098,0.0245329776054153,0.0005216202660225,0.6938794828607702,351684809.06000006,161253128.80201226,0.8126519264903502,False,0.0339471856000075,7474.66,-0.1179344612330192,-1.147999668039042,2,0,-0.0140460156614963,0.0,-0.0036883123517093227,0.024343754707303187,-0.04414245603263609,0.434,0.08116312034156048,0.387851429331723,0.03164584764690917,0.02627398616521156,0.8034697630346402,-0.0038600653149282902,,0.013,0.03,-0.018605064456997916,0.053516123124243906,-0.10205267782682294,0.339,0.25298307146051996,-0.032852829873548206,0.06980632311277722,0.04506360290323457,0.7819358399467574,-0.022071089490282414,,0.015,0.044,-0.03548725177349851,0.0730611495047689,-0.14912187953747982,0.299,0.3201750136033543,0.2403011904918433,0.09372515825892419,-0.004383536438041962,0.6359431242136623,-0.037974385030918885,0.17562412641574343,0.007,0.055,-0.07227163340795133,0.10072255374651969,-0.22916887707657002,0.221,0.3666369488361187,0.20318041461169356,0.1314312254130739,0.02839953632813427,0.46526508539728784,-0.07718447368641612,0.648583181189519,0.009,0.098,-0.20901465809229505,0.14762117553751988,-0.4231035070053107,0.095,0.5198813580101552,0.15844148570183902,0.20136361527039895,0.052225770604371835,0.11896355966930298,-0.22288034839976606,1.5257671333045462,0.001,0.314
2021-09-20,6607.44,6607.45,6455.15,6501.18,304249241.1,1977979081254.4983,-0.0140460156614963,-0.0664696557190611,-0.0111205924898353,-0.0994023887825298,-0.0598398069810996,-0.0268757763560501,-0.017904026578168,0.0243155222061393,0.0214276352542967,0.0330608113779783,40.69777552805777,-35.5133256971385,21.73353943806484,-57.246865135203336,-0.020411690596433,0.0466751091652185,0.0125052421492471,-0.0052348361776352,0.0243155222061393,0.0002975027902145,0.0645628950043795,340536526.49,156104300.19538924,0.8934408424141086,False,0.0195258653811472,7474.66,-0.1302373619669656,-0.8379280210585538,2,0,-0.0001938297534739,0.0,-0.005678213788226534,0.023687958140363896,-0.043727418368582044,0.381,0.04935405675902497,-0.056425133913418524,0.03172299779556367,0.08486770069246281,0.7850654931977229,-0.0069361204603246894,,0.011,0.035,-0.025340944015065668,0.05448490795761601,-0.10698522990347724,0.29,0.3503911657216121,0.35007468956387067,0.07117192415887254,0.001801106539801303,0.6712448845662324,-0.02806696062420522,,0.014,0.047,-0.046617537791668835,0.07468046839792845,-0.15973280343778495,0.251,0.3777046057758645,0.18715709124965674,0.09793094295081257,0.07716587479623498,0.5066137655072964,-0.05266709597660206,0.24407441702411262,0.01,0.067,-0.09433576946234742,0.09953503415954125,-0.2420949458331432,0.165,0.4257064983887523,0.20594414248817028,0.12985287356950528,0.07055171877301708,0.328907327106232,-0.10268723636750254,0.6495974930622409,0.005,0.142,-0.2710691228773826,0.13484073790365503,-0.4721840755849055,0.035,0.5317618252210157,0.4806036159464946,0.18334370698627672,0.02608723756264614,0.0938965562312579,-0.27944239451303254,1.3291230382468462,0.001,0.533
2021-09-21,6501.18,6587.15,6378.48,6499.92,252227916.1,1639461276416.712,-0.0001938297534739,-0.0539075554416995,-0.0677643279215191,-0.1304059315072524,-0.0533499916657364,-0.0278366110050907,-0.0149727510152243,0.0224685139191986,0.0214081447045585,0.0329149106010974,40.66427142078688,-53.01465588241626,6.783900373968617,-59.79855625638488,-0.0140460156614963,-0.0135606471728985,0.0348382108527234,-0.0069864382079451,0.0224685139191986,0.0002900583577344,-0.1709825957557664,319415687.20500004,135772805.40596813,0.7896541284715327,False,0.0193282700845425,7474.66,-0.1304059315072524,-0.0719444547692019,2,0,0.0276618950407241,1.0,-0.007090597500762433,0.022517092454872437,-0.04243359349271194,0.358,0.05299804235712254,0.022309430983801004,0.030868580220348028,0.09132295461678028,0.7588793602736037,-0.008241650634341898,,0.009,0.039,-0.0368450396195009,0.04933512986889104,-0.11493457954535294,0.233,0.07228220222830052,-0.27078354394595516,0.06947887856390501,-0.009464073063274809,0.37485631613144776,-0.03757786053888206,,0.002,0.111,-0.07026391521521243,0.06783004136568624,-0.17659774593327615,0.14,0.23048995431796068,0.31839330575336167,0.09102282532210995,0.03392331936416824,0.23474973918351855,-0.073307456474416,0.22720560353248134,0.005,0.161,-0.13456597918543606,0.08570811456007163,-0.2670537439839429,0.067,0.21982694173662043,-0.14390195679722728,0.12057430544307805,0.08303346283496725,0.04367344928758794,-0.13879387341614968,0.6256303049058812,0.0,0.358,-0.34425417335104,0.1142580739359337,-0.5141552834389237,0.006,0.5678356426550046,0.9089133728342191,0.15174061484391949,0.08352866788344948,0.28588830805630855,-0.3528772966474649,1.0458267710426317,0.001,0.835
2021-09-22,6547.49,6727.37,6499.92,6682.23,206218812.3,1378001534115.429,0.0276618950407241,-0.0177365796007286,-0.024923282110249,-0.1049977498473111,-0.021210812245488,-0.0023025086077188,-0.0104500622029588,0.0237494351645773,0.0219836069897267,0.0329633328138318,47.41036228882852,-51.57912077535457,-4.888703855896019,-46.69041691945855,-0.0001938297534739,-0.0098573404226953,-0.0011378225448184,-0.0055464523286679,0.0237494351645773,0.0006985932335999,-0.1824108310903972,304279697.65500003,130295912.65518056,0.6777278073077885,False,0.0479184276432682,7474.66,-0.1060155244519483,1.394115231065684,2,0,-0.0121048808475935,0.0,-0.005207739057395177,0.02294272168545719,-0.04161836449313011,0.405,-0.02104825348502836,-0.06772151713280428,0.032382188696686506,0.09536283334947276,0.7614927469600029,-0.006221860307526087,,0.013,0.031,-0.02673772270741941,0.05318003599847792,-0.11253765890803932,0.322,0.12634303751442497,-0.004202242749140606,0.07402773473488362,-0.009125032578389161,0.5125724422784564,-0.026994966320366784,,0.009,0.063,-0.054990485558876555,0.06986745392682829,-0.16065303191918343,0.209,0.24764106608921432,0.07628079666977605,0.09527971721097556,0.0049766717509356845,0.40193295430514275,-0.05603981834105466,0.22953419256365656,0.005,0.114,-0.10437683465802472,0.09550772094762094,-0.24910591310538438,0.149,0.2833156994306865,-0.14218855458206203,0.1317754582225139,0.05226580876389883,0.2601704998750335,-0.11110602257465382,0.7004923646714365,0.001,0.183,-0.28429064430541495,0.12790537733378887,-0.4707102716275144,0.024,0.497632892375374,0.4643272114384098,0.17125084177475486,0.05725928056935998,0.1389974679288362,-0.2951832281966279,1.2099012426865197,0.001,0.614
2021-09-23,6731.23,6756.99,6574.53,6601.83,186003598.8,1227964138665.804,-0.0121048808475935,-0.0189133762315911,-0.0094184197101101,-0.0969448263126577,-0.0279420124945503,-0.0157071069685257,-0.007444589174511,0.0235248328105532,0.022089309283052,0.0330211471667704,44.981514909212784,-56.280292748167085,-15.167021634350233,-41.11327111381685,0.0276618950407241,-0.0109061167501946,-0.0210623004181967,-0.0050985813501378,0.0235248328105532,0.000510306850053,-0.0980279794774087,294096474.55,131226516.60890876,0.6324577643598278,False,0.0353099658599236,7474.66,-0.1167718665464382,-0.7500085853871797,2,0,-0.0178427294739865,0.0,-0.005308702101758964,0.023762099118216504,-0.04357756974640658,0.401,0.05379435178118462,0.28772812944339243,0.031105842382839866,0.05404710986502636,0.7627918840604847,-0.006180171270556645,,0.018,0.039,-0.024384515771624007,0.05357358614056608,-0.10736179680049586,0.306,0.2425338755131734,0.1712891404617376,0.07055463296820823,-0.037461611820929386,0.6269995824205371,-0.02488865417115202,,0.011,0.051,-0.0501106681114211,0.06972848307033662,-0.15706755540797088,0.232,0.3000090695145892,0.23848520861552336,0.09269130292563992,0.0739465952754934,0.42123072051469024,-0.053985064675093467,0.19553832621774148,0.008,0.09,-0.09601480867302925,0.09466103282680495,-0.24276672247717107,0.155,0.26152342479501367,0.2771886214004282,0.12582037953219077,0.08242262872292558,0.267374358151404,-0.10267445246042081,0.6228392654126822,0.003,0.158,-0.2663916267462466,0.13232091223509704,-0.46008276953204286,0.027,0.4121848430964949,-0.05603165717087766,0.18081074448823425,0.04365391451126115,0.0701317172153192,-0.27654747530626594,1.3321084935125567,0.0,0.543
2021-09-26,6624.72,6638.9,6484.18,6485.08,120851247.9,783730010731.332,-0.0178427294739865,-0.0163897626927382,-0.0242864665613481,-0.0936954966235857,-0.0403959468363718,-0.0338723310735809,-0.006128346928749,0.0234069782391742,0.022271225532486,0.032394247366923,41.645126088894486,-68.63556659868209,-25.860730627216604,-42.774835971465485,-0.0121048808475935,-0.020411690596433,-0.0214344235117864,-0.0049189966482478,0.0234069782391742,0.0002443208163712,-0.3502746792015295,277441079.575,131007706.74712124,0.4355924799785483,False,0.0170010365911987,7474.66,-0.1323913060928523,-1.0297758308479714,2,0,-0.0160602324699677,0.0,-0.004216893401485095,0.02278433998239224,-0.04101253586550621,0.425,0.012636354635467766,0.13600568503864263,0.030368489310168348,0.03841337204432654,0.8293874233291314,-0.004593402045597725,,0.016,0.035,-0.021394698541395637,0.05157161312060334,-0.10352164265627183,0.32,0.2567547838982382,0.2173423515920252,0.06926315448738342,-0.028739001844885464,0.659176979037672,-0.023007583768692455,,0.013,0.051,-0.046839039975442975,0.06652029945921283,-0.15485795184848847,0.235,0.13945932340723433,-0.15228638513477089,0.08979739547243593,-0.01133202876742366,0.45781981121269966,-0.04774223268318818,0.23275115466996774,0.003,0.098,-0.09558647507620066,0.08884371809829228,-0.2335029951081612,0.133,0.25457371900619885,0.10029920530816927,0.12407960696117723,0.019181273164780237,0.23456777107170385,-0.09937921837662286,0.7033821298228173,0.004,0.187,-0.26341370987257934,0.12866125383363078,-0.454768808821594,0.027,0.5609250114789847,0.7630272969022069,0.17074035035738627,0.014793800831967758,0.08638900219429643,-0.2721231698191563,1.3439473154476345,0.002,0.551
