Rank,Feature,Importance,Type
1,Rolling_Return_Zscore_60D,0.025475,Historic
2,Log_Return,0.023942,Historic
3,Return_5D,0.017263,Historic
4,Sim_Kurtosis_5D,0.017137,Sim
5,Sim_Quant_Skew_20D,0.016991,Sim
6,Sim_Skewness_1D,0.016876,Sim
7,Lag_Log_Return_1D,0.016692,Historic
8,Sim_Skewness_10D,0.01662,Sim
9,Sim_Kurtosis_10D,0.016607,Sim
10,Sim_Kurtosis_60D,0.016586,Sim
11,Lag_Log_Return_5D,0.015838,Historic
12,Lag_Log_Return_20D,0.015559,Historic
13,Sim_Quant_Skew_10D,0.015489,Sim
14,Sim_Kurtosis_1D,0.01541,Sim
15,Sim_Quant_Skew_60D,0.015392,Sim
16,Sim_Skewness_5D,0.015283,Sim
17,Sim_Quant_Skew_5D,0.015173,Sim
18,Expanding_Mean_Log_Return,0.014974,Historic
19,Sim_Kurtosis_20D,0.014932,Sim
20,Sim_Quant_Skew_1D,0.014699,Sim
21,Sim_Divergence_Rate_20D,0.014664,Sim
22,Sim_Divergence_Rate_10D,0.014604,Sim
23,Sim_Skewness_60D,0.013757,Sim
24,Volume_Ratio_20D,0.013407,Historic
25,Sim_Skewness_20D,0.013161,Sim
26,Return_10D,0.012986,Historic
27,Volume_Pct_Change,0.012676,Historic
28,Volume_Rolling_Std_20D,0.012249,Historic
29,MACD_Hist,0.012154,Historic
30,Rolling_Vol_30D,0.012119,Historic
31,EMA20_to_SMA20,0.012117,Historic
32,ATR_14D_Norm,0.011626,Historic
33,Volume_Rolling_Avg_20D,0.011498,Historic
34,MACD_Signal,0.011351,Historic
35,Volume,0.011138,Historic
36,Cumulative_Return,0.010869,Historic
37,Turn Over,0.01085,Historic
38,Sim_Divergence_Rate_60D,0.010732,Sim
39,High,0.010719,Historic
40,RSI_14,0.010564,Historic
41,Close_to_SMA50,0.01055,Historic
42,Low,0.010529,Historic
43,Open,0.010499,Historic
44,Close_to_SMA20,0.010485,Historic
45,Close,0.010464,Historic
46,Sim_VaR_95_5D,0.010235,Sim
47,Drawdown,0.01,Historic
48,Sim_Tail_Ratio_60D,0.009918,Sim
49,Sim_VaR_95_20D,0.009858,Sim
50,MACD,0.009845,Historic
51,Sim_Volatility_20D,0.009616,Sim
52,Sim_IQR_20D,0.009475,Sim
53,Sim_VaR_95_1D,0.009418,Sim
54,Sim_IQR_5D,0.00911,Sim
55,Sim_IQR_1D,0.008989,Sim
56,Sim_VaR_95_10D,0.008862,Sim
57,Sim_Volatility_10D,0.008834,Sim
58,Sim_IQR_10D,0.008693,Sim
59,Sim_Prob_Extreme_Up_1D,0.008683,Sim
60,Sim_Volatility_60D,0.008425,Sim
61,Sim_Volatility_5D,0.008344,Sim
62,Sim_Volatility_1D,0.008132,Sim
63,Sim_Tail_Ratio_1D,0.008028,Sim
64,Rolling_Vol_20D,0.008011,Historic
65,Sim_IQR_60D,0.007979,Sim
66,Rolling_Std_Return_20D,0.007757,Historic
67,Sim_VaR_95_60D,0.007754,Sim
68,Sim_Tail_Ratio_20D,0.007637,Sim
69,Sim_Median_Path_Return_1D,0.00758,Sim
70,Sim_Prob_Profit_1D,0.007399,Sim
71,Sim_Tail_Ratio_10D,0.007266,Sim
72,Sim_Prob_Extreme_Down_1D,0.007067,Sim
73,Sim_Median_Path_Return_5D,0.006533,Sim
74,Sim_Expected_Return_1D,0.006185,Sim
75,Sim_Prob_Profit_5D,0.006074,Sim
76,Sim_Tail_Ratio_5D,0.00599,Sim
77,Sim_Prob_Profit_20D,0.005931,Sim
78,Sim_Prob_Profit_10D,0.00583,Sim
79,Sim_Median_Path_Return_10D,0.005762,Sim
80,Sim_Prob_Extreme_Down_10D,0.005728,Sim
81,Sim_Expected_Return_20D,0.005682,Sim
82,Sim_Median_Path_Return_20D,0.005639,Sim
83,Sim_Expected_Return_5D,0.005587,Sim
84,Sim_Median_Path_Return_60D,0.005459,Sim
85,Return_20D,0.005438,Historic
86,Sim_Prob_Extreme_Down_5D,0.005387,Sim
87,Rolling_Mean_Log_Return_20D,0.005354,Historic
88,Sim_Expected_Return_10D,0.005245,Sim
89,Sim_Prob_Extreme_Up_5D,0.005203,Sim
90,Sim_Expected_Return_60D,0.005076,Sim
91,Sim_Prob_Extreme_Down_20D,0.004863,Sim
92,Sim_Prob_Extreme_Up_10D,0.004733,Sim
93,Sim_Prob_Extreme_Up_60D,0.00431,Sim
94,Trend_Encoded,0.004272,Historic
95,Sim_Prob_Extreme_Up_20D,0.004238,Sim
96,Sim_Prob_Extreme_Down_60D,0.004194,Sim
97,Sim_Prob_Profit_60D,0.004011,Sim
98,Market_Regime_Encoded,0.001094,Historic
99,Volume_Spike,0.000562,Historic
100,Running_Max_Close,0.0,Historic
