Rank,Feature,Importance,Type
1,Lag_Log_Return_1D,0.025034,Historic
2,Sim_Quant_Skew_10D,0.018076,Sim
3,Sim_Skewness_1D,0.017174,Sim
4,Lag_Log_Return_5D,0.016394,Historic
5,Volume_Pct_Change,0.016389,Historic
6,Sim_Kurtosis_1D,0.016363,Sim
7,Sim_Quant_Skew_5D,0.015864,Sim
8,Sim_Quant_Skew_20D,0.015537,Sim
9,Return_5D,0.015497,Historic
10,Volume_Rolling_Std_20D,0.015406,Historic
11,Sim_Skewness_60D,0.015339,Sim
12,Lag_Log_Return_20D,0.015038,Historic
13,Sim_Kurtosis_10D,0.014909,Sim
14,Sim_Divergence_Rate_10D,0.014825,Sim
15,EMA20_to_SMA20,0.014778,Historic
16,Log_Return,0.014593,Historic
17,Sim_Kurtosis_20D,0.014578,Sim
18,Rolling_Return_Zscore_60D,0.014457,Historic
19,Sim_Skewness_5D,0.01406,Sim
20,Sim_Kurtosis_5D,0.013864,Sim
21,RSI_14,0.013632,Historic
22,Sim_Quant_Skew_1D,0.013574,Sim
23,Sim_Kurtosis_60D,0.013503,Sim
24,Sim_Divergence_Rate_20D,0.01335,Sim
25,Sim_Skewness_10D,0.013189,Sim
26,Volume_Ratio_20D,0.012994,Historic
27,Sim_Quant_Skew_60D,0.012953,Sim
28,MACD_Hist,0.012886,Historic
29,Return_10D,0.012679,Historic
30,Volume_Rolling_Avg_20D,0.012198,Historic
31,Close_to_SMA50,0.012035,Historic
32,Expanding_Mean_Log_Return,0.011801,Historic
33,Sim_Skewness_20D,0.011769,Sim
34,Open,0.011627,Historic
35,Close_to_SMA20,0.011582,Historic
36,ATR_14D_Norm,0.011172,Historic
37,Sim_Tail_Ratio_60D,0.011119,Sim
38,Low,0.010658,Historic
39,MACD_Signal,0.010624,Historic
40,High,0.010553,Historic
41,Close,0.010454,Historic
42,Turn Over,0.010228,Historic
43,Sim_Prob_Extreme_Up_1D,0.010166,Sim
44,MACD,0.010159,Historic
45,Volume,0.010125,Historic
46,Sim_IQR_10D,0.010069,Sim
47,Rolling_Vol_30D,0.009917,Historic
48,Cumulative_Return,0.009885,Historic
49,Drawdown,0.009599,Historic
50,Sim_Divergence_Rate_60D,0.00958,Sim
51,Sim_IQR_5D,0.009332,Sim
52,Sim_IQR_60D,0.009197,Sim
53,Sim_Tail_Ratio_1D,0.008918,Sim
54,Sim_Volatility_60D,0.008839,Sim
55,Sim_VaR_95_1D,0.008734,Sim
56,Sim_Volatility_10D,0.008628,Sim
57,Sim_IQR_20D,0.008614,Sim
58,Sim_Volatility_5D,0.008423,Sim
59,Rolling_Vol_20D,0.008311,Historic
60,Sim_Prob_Profit_1D,0.00822,Sim
61,Sim_VaR_95_5D,0.0082,Sim
62,Sim_Tail_Ratio_20D,0.008089,Sim
63,Sim_VaR_95_20D,0.007978,Sim
64,Sim_Volatility_20D,0.00796,Sim
65,Sim_Volatility_1D,0.00791,Sim
66,Sim_Prob_Extreme_Down_1D,0.007817,Sim
67,Sim_IQR_1D,0.007653,Sim
68,Sim_VaR_95_10D,0.007635,Sim
69,Sim_Tail_Ratio_10D,0.007629,Sim
70,Sim_Tail_Ratio_5D,0.007615,Sim
71,Sim_Expected_Return_10D,0.00758,Sim
72,Sim_Median_Path_Return_10D,0.007494,Sim
73,Rolling_Std_Return_20D,0.007462,Historic
74,Sim_VaR_95_60D,0.007458,Sim
75,Sim_Median_Path_Return_1D,0.007283,Sim
76,Sim_Expected_Return_1D,0.007,Sim
77,Sim_Prob_Profit_5D,0.006928,Sim
78,Return_20D,0.006928,Historic
79,Sim_Expected_Return_5D,0.006876,Sim
80,Sim_Expected_Return_60D,0.00659,Sim
81,Sim_Prob_Profit_10D,0.006563,Sim
82,Sim_Median_Path_Return_60D,0.006438,Sim
83,Sim_Median_Path_Return_5D,0.006421,Sim
84,Sim_Prob_Profit_20D,0.006366,Sim
85,Sim_Prob_Extreme_Up_10D,0.006357,Sim
86,Rolling_Mean_Log_Return_20D,0.006328,Historic
87,Sim_Expected_Return_20D,0.006174,Sim
88,Sim_Prob_Extreme_Down_10D,0.005982,Sim
89,Sim_Prob_Extreme_Up_5D,0.005957,Sim
90,Sim_Prob_Extreme_Down_20D,0.005915,Sim
91,Sim_Prob_Extreme_Down_5D,0.005725,Sim
92,Sim_Median_Path_Return_20D,0.005555,Sim
93,Sim_Prob_Extreme_Up_20D,0.005401,Sim
94,Sim_Prob_Extreme_Down_60D,0.005295,Sim
95,Sim_Prob_Profit_60D,0.005075,Sim
96,Sim_Prob_Extreme_Up_60D,0.005068,Sim
97,Trend_Encoded,0.002605,Historic
98,Market_Regime_Encoded,0.001653,Historic
99,Running_Max_Close,0.001081,Historic
100,Volume_Spike,0.000492,Historic
