Rank,Feature,Importance,Type
1,Sim_Skewness_1D,0.018159,Sim
2,Sim_Kurtosis_20D,0.017667,Sim
3,Sim_Skewness_5D,0.016896,Sim
4,Sim_Kurtosis_1D,0.016779,Sim
5,Lag_Log_Return_1D,0.016608,Historic
6,Lag_Log_Return_5D,0.01649,Historic
7,Sim_Divergence_Rate_20D,0.016136,Sim
8,Return_5D,0.016004,Historic
9,Sim_Quant_Skew_10D,0.015798,Sim
10,Rolling_Return_Zscore_60D,0.015731,Historic
11,Sim_Quant_Skew_1D,0.015659,Sim
12,Sim_Quant_Skew_20D,0.015546,Sim
13,Sim_Kurtosis_10D,0.015261,Sim
14,Log_Return,0.015085,Historic
15,EMA20_to_SMA20,0.015041,Historic
16,Volume_Pct_Change,0.014712,Historic
17,Sim_Quant_Skew_60D,0.014672,Sim
18,Sim_Kurtosis_5D,0.014665,Sim
19,Sim_Skewness_20D,0.014576,Sim
20,Volume_Rolling_Avg_20D,0.014249,Historic
21,Volume_Ratio_20D,0.013901,Historic
22,Sim_Skewness_60D,0.013832,Sim
23,Lag_Log_Return_20D,0.013793,Historic
24,Sim_Divergence_Rate_10D,0.013685,Sim
25,Sim_Skewness_10D,0.013453,Sim
26,Volume_Rolling_Std_20D,0.013377,Historic
27,Sim_Quant_Skew_5D,0.01327,Sim
28,Expanding_Mean_Log_Return,0.013099,Historic
29,Volume,0.013039,Historic
30,Close_to_SMA20,0.012885,Historic
31,Turn Over,0.012675,Historic
32,ATR_14D_Norm,0.012423,Historic
33,Return_10D,0.011833,Historic
34,Close_to_SMA50,0.011805,Historic
35,MACD_Signal,0.011737,Historic
36,Sim_Kurtosis_60D,0.011613,Sim
37,Sim_VaR_95_10D,0.011605,Sim
38,MACD_Hist,0.011473,Historic
39,Sim_VaR_95_20D,0.01125,Sim
40,MACD,0.011204,Historic
41,Rolling_Vol_30D,0.011061,Historic
42,Open,0.01079,Historic
43,RSI_14,0.010781,Historic
44,Sim_IQR_1D,0.010663,Sim
45,High,0.010414,Historic
46,Low,0.010379,Historic
47,Sim_VaR_95_5D,0.010243,Sim
48,Sim_VaR_95_1D,0.01019,Sim
49,Drawdown,0.010106,Historic
50,Sim_Tail_Ratio_60D,0.009596,Sim
51,Sim_Divergence_Rate_60D,0.009467,Sim
52,Sim_Tail_Ratio_1D,0.009277,Sim
53,Sim_IQR_20D,0.009259,Sim
54,Sim_Median_Path_Return_1D,0.009252,Sim
55,Sim_Tail_Ratio_20D,0.00922,Sim
56,Close,0.009086,Historic
57,Sim_Volatility_60D,0.008802,Sim
58,Cumulative_Return,0.008716,Historic
59,Rolling_Std_Return_20D,0.008578,Historic
60,Sim_Volatility_20D,0.008551,Sim
61,Sim_IQR_10D,0.008538,Sim
62,Sim_Prob_Profit_1D,0.008537,Sim
63,Rolling_Vol_20D,0.008524,Historic
64,Sim_IQR_60D,0.008485,Sim
65,Sim_Volatility_1D,0.008399,Sim
66,Sim_IQR_5D,0.00814,Sim
67,Sim_Volatility_10D,0.008028,Sim
68,Sim_VaR_95_60D,0.007549,Sim
69,Sim_Tail_Ratio_10D,0.007356,Sim
70,Sim_Prob_Extreme_Up_1D,0.007291,Sim
71,Sim_Volatility_5D,0.007273,Sim
72,Sim_Prob_Extreme_Down_1D,0.006863,Sim
73,Sim_Expected_Return_1D,0.006834,Sim
74,Sim_Prob_Profit_10D,0.006803,Sim
75,Sim_Prob_Extreme_Up_5D,0.006523,Sim
76,Sim_Median_Path_Return_5D,0.00645,Sim
77,Sim_Prob_Profit_20D,0.006409,Sim
78,Sim_Expected_Return_5D,0.006407,Sim
79,Sim_Tail_Ratio_5D,0.006386,Sim
80,Sim_Expected_Return_10D,0.006336,Sim
81,Sim_Expected_Return_20D,0.006266,Sim
82,Sim_Median_Path_Return_10D,0.006139,Sim
83,Sim_Prob_Extreme_Down_5D,0.006107,Sim
84,Sim_Prob_Profit_5D,0.005795,Sim
85,Sim_Median_Path_Return_20D,0.005764,Sim
86,Sim_Median_Path_Return_60D,0.00571,Sim
87,Sim_Expected_Return_60D,0.005684,Sim
88,Sim_Prob_Extreme_Down_10D,0.005606,Sim
89,Sim_Prob_Extreme_Up_10D,0.005475,Sim
90,Rolling_Mean_Log_Return_20D,0.00536,Historic
91,Return_20D,0.005114,Historic
92,Sim_Prob_Extreme_Up_20D,0.004891,Sim
93,Sim_Prob_Profit_60D,0.00482,Sim
94,Sim_Prob_Extreme_Up_60D,0.004705,Sim
95,Sim_Prob_Extreme_Down_60D,0.004221,Sim
96,Sim_Prob_Extreme_Down_20D,0.004193,Sim
97,Trend_Encoded,0.002188,Historic
98,Running_Max_Close,0.001223,Historic
99,Market_Regime_Encoded,0.001023,Historic
100,Volume_Spike,0.000466,Historic
